0,1,2,3,4,5
Table 2. Two-stage Pyrolysis of Different Plastics with No Catalyst and No,,,,,
Carbon Dioxide (quartz sand in the 2nd stage at a temperature of 800 °C).,,,,,
Plastic type,HDPE,LDPE,PP,PS,PET
Product yield (wt. %),,,,,
Gas,51.7,49.3,33.8,17.2,69.5
Liquid,7.0,1.5,0.5,16.0,2.0
Residue,-,-,7.0,5.0,19.5
Carbon deposition,41.0,46.5,58.5,59.0,6.0
Mass balance,99.7,97.3,99.8,97.2,97.0
