0,1,2,3,4,5
2.8 m.m. and steam to biomass ratio 1.37),,,,,
,,,Temperature (°C),,
,850,900,950,1000,1050
,Ni-dolomite,Ni-dolomite,Ni-dolomite,Ni-dolomite,Ni-dolomite
,Catalyst,Catalyst,Catalyst,Catalyst,Catalyst
H2 (mmoles g-1 rice husk),20.03,21.47,25.44,29.02,30.62
H2/CO,2.61,2.38,2.59,2.78,3.09
CO/CO2,1.08,1.39,1.41,1.43,1.57
H2/CO2,2.83,3.29,3.64,3.96,4.87
H2/CH4,8.68,17.36,33.24,194.8,186.23
CH4/CO,0.3,0.14,0.08,0.01,0.02
CH4/CO2,0.33,0.19,0.11,0.02,0.03
Mass balance (wt.%),,,,,
Gas / (biomass + water),23.29,24.83,26.30,27.99,26.62
Solid / (biomass + water),12.13,12.96,13.02,13.34,13.56
Mass balance,98.75,96.02,96.65,95.62,92.93
Gas / (biomass),60.49,60.33,63.64,67.66,61.84
Solid / (biomass),31.5,31.5,31.5,32.25,31.5
